Todesursache;Total_TU;Alter;Todesfälle;Total_AK;Jahr;Geschlecht;Grösse;Kategorie
Infektiöse Krankheiten;270.0;0-1J;12.0;258.0;1990;Frau;0.046511627906976744;Infektiöse Krankheiten
Tuberkulose;23.0;0-1J;0.0;258.0;1990;Frau;0.0;Infektiöse Krankheiten
AIDS;60.0;0-1J;0.0;258.0;1990;Frau;0.0;Infektiöse Krankheiten
Bösartige Tumoren;7302.0;0-1J;2.0;258.0;1990;Frau;0.007751937984496124;Bösartige Tumoren
Magen;371.0;0-1J;0.0;258.0;1990;Frau;0.0;Bösartige Tumoren
Dickdarm;677.0;0-1J;0.0;258.0;1990;Frau;0.0;Bösartige Tumoren
Lunge;491.0;0-1J;0.0;258.0;1990;Frau;0.0;Bösartige Tumoren
Brust;1675.0;0-1J;0.0;258.0;1990;Frau;0.0;Bösartige Tumoren
Gebärmutterhals;148.0;0-1J;0.0;258.0;1990;Frau;0.0;Bösartige Tumoren
Diabetes mellitus;840.0;0-1J;0.0;258.0;1990;Frau;0.0;Diabetes mellitus
Kreislaufsystem;14951.0;0-1J;2.0;258.0;1990;Frau;0.007751937984496124;Kreislaufsystem
Herzkrankheiten  insgesamt;10320.0;0-1J;2.0;258.0;1990;Frau;0.007751937984496124;Kreislaufsystem
Ischämische Herzkrankheiten;4569.0;0-1J;0.0;258.0;1990;Frau;0.0;Kreislaufsystem
Lungenembolie;330.0;0-1J;0.0;258.0;1990;Frau;0.0;Kreislaufsystem
Zerebrovaskuläre Krankheiten;3431.0;0-1J;0.0;258.0;1990;Frau;0.0;Kreislaufsystem
Atmungsorgane insgesamt;2422.0;0-1J;4.0;258.0;1990;Frau;0.015503875968992248;Atmungsorgane insgesamt
Grippe;640.0;0-1J;0.0;258.0;1990;Frau;0.0;Atmungsorgane insgesamt
Pneumonie;1068.0;0-1J;4.0;258.0;1990;Frau;0.015503875968992248;Atmungsorgane insgesamt
Chronische Bronchitis;315.0;0-1J;0.0;258.0;1990;Frau;0.0;Atmungsorgane insgesamt
Asthma;131.0;0-1J;0.0;258.0;1990;Frau;0.0;Atmungsorgane insgesamt
Alkoholische Leberzirrhose;152.0;0-1J;0.0;258.0;1990;Frau;0.0;Alkoholische Leberzirrhose
Harnorgane;296.0;0-1J;1.0;258.0;1990;Frau;0.003875968992248062;Harnorgane
Kongenitale Missbildungen;122.0;0-1J;94.0;258.0;1990;Frau;0.3643410852713178;Kongenitale Missbildungen
Perinatale Todesursachen;79.0;0-1J;79.0;258.0;1990;Frau;0.3062015503875969;Perinatale Todesursachen
Unfälle und Gewalteinwirkungen;2022.0;0-1J;6.0;258.0;1990;Frau;0.023255813953488372;Unfälle und Gewalteinwirkungen
Unfälle insgesamt;1486.0;0-1J;4.0;258.0;1990;Frau;0.015503875968992248;Unfälle und Gewalteinwirkungen
Strassenverkehrsunfälle;231.0;0-1J;1.0;258.0;1990;Frau;0.003875968992248062;Unfälle und Gewalteinwirkungen
Suizid;435.0;0-1J;0.0;258.0;1990;Frau;0.0;Unfälle und Gewalteinwirkungen
Demenz;1.0;0-1J;0.0;258.0;1990;Frau;0.0;Demenz
Infektiöse Krankheiten;270.0;1-14J;5.0;105.0;1990;Frau;0.047619047619047616;Infektiöse Krankheiten
Tuberkulose;23.0;1-14J;0.0;105.0;1990;Frau;0.0;Infektiöse Krankheiten
AIDS;60.0;1-14J;1.0;105.0;1990;Frau;0.009523809523809525;Infektiöse Krankheiten
Bösartige Tumoren;7302.0;1-14J;16.0;105.0;1990;Frau;0.1523809523809524;Bösartige Tumoren
Magen;371.0;1-14J;0.0;105.0;1990;Frau;0.0;Bösartige Tumoren
Dickdarm;677.0;1-14J;0.0;105.0;1990;Frau;0.0;Bösartige Tumoren
Lunge;491.0;1-14J;0.0;105.0;1990;Frau;0.0;Bösartige Tumoren
Brust;1675.0;1-14J;0.0;105.0;1990;Frau;0.0;Bösartige Tumoren
Gebärmutterhals;148.0;1-14J;0.0;105.0;1990;Frau;0.0;Bösartige Tumoren
Diabetes mellitus;840.0;1-14J;1.0;105.0;1990;Frau;0.009523809523809525;Diabetes mellitus
Kreislaufsystem;14951.0;1-14J;7.0;105.0;1990;Frau;0.06666666666666667;Kreislaufsystem
Herzkrankheiten  insgesamt;10320.0;1-14J;6.0;105.0;1990;Frau;0.05714285714285714;Kreislaufsystem
Ischämische Herzkrankheiten;4569.0;1-14J;0.0;105.0;1990;Frau;0.0;Kreislaufsystem
Lungenembolie;330.0;1-14J;0.0;105.0;1990;Frau;0.0;Kreislaufsystem
Zerebrovaskuläre Krankheiten;3431.0;1-14J;1.0;105.0;1990;Frau;0.009523809523809525;Kreislaufsystem
Atmungsorgane insgesamt;2422.0;1-14J;9.0;105.0;1990;Frau;0.08571428571428572;Atmungsorgane insgesamt
Grippe;640.0;1-14J;0.0;105.0;1990;Frau;0.0;Atmungsorgane insgesamt
Pneumonie;1068.0;1-14J;3.0;105.0;1990;Frau;0.02857142857142857;Atmungsorgane insgesamt
Chronische Bronchitis;315.0;1-14J;0.0;105.0;1990;Frau;0.0;Atmungsorgane insgesamt
Asthma;131.0;1-14J;2.0;105.0;1990;Frau;0.01904761904761905;Atmungsorgane insgesamt
Alkoholische Leberzirrhose;152.0;1-14J;0.0;105.0;1990;Frau;0.0;Alkoholische Leberzirrhose
Harnorgane;296.0;1-14J;0.0;105.0;1990;Frau;0.0;Harnorgane
Kongenitale Missbildungen;122.0;1-14J;20.0;105.0;1990;Frau;0.19047619047619047;Kongenitale Missbildungen
